Named_Entity,Type
Lavas,PERSON
Prim: • Prim,ORG
Seneschals,PERSON
Seneschal,ORG
Nurush,PERSON
the Department of Sewer and Water,ORG
Gambling Club,ORG
the Daerath Market,GPE
DC 12 Intelligence,ORG
the Monster Manual,ORG
Tharchion Halarkoun,PERSON
Intelligence (Investigation,ORG
the High Road,PRODUCT
Probity Corps Troopers,ORG
DC 10 Wisdom (Perception,ORG
Dexterity (Stealth,ORG
DC 12 Wisdom (Survival,ORG
Inquisitor,ORG
DC 10,ORG
DC 10 Wisdom (Insight,ORG
the Capitol City The city,ORG
Market,ORG
DC 13 Wisdom (Perception,ORG
DC 15,ORG
DC 12 Wisdom (Nature,ORG
DC 10 Intelligence (History,ORG
the Two Eltabbars Basic,ORG
DC 14 Wisdom (Perception,ORG
Bilton,PERSON
Nursh Xamaroth,PERSON
Xamorth,PERSON
the Tharch of Gauros. Hyena Rampage,ORG
DC 14 Intelligence (History,ORG
Gafna Bilton’s,PERSON
Embassy Dinner Party,ORG
Tharch,PERSON
Aragos Toslav,PERSON
Ethra Taston,PERSON
Ethra,PERSON
Aumaund Halarkoun’s,PERSON
Tharchion Aumaund Halarkoun,PERSON
the Tharch of Pyarados,ORG
• Aragos,ORG
the Tharchion Aumaund Halarkoun,ORG
Beld Thola,PERSON
Ethra Taston’s,PERSON
DC 12 Wisdom,EVENT
Ryla Yamos,PERSON
Ryla,ORG
Success,ORG
Ivor,PERSON
the Roster of Notable Guests,ORG
NPC,ORG
Seneschal of Eltabbar,ORG
Jora Ultan,PERSON
Ulthark,PERSON
the Eltabbar Probity Corps,ORG
Kolex Senda,PERSON
Arcane College of Eltabbar,ORG
Liss Irun,PERSON
Vaasa,GPE
Ivor Nikos,PERSON
Desala,GPE
Navigating the Gala,WORK_OF_ART
Beld,PERSON
Cazna Ozno,PERSON
Deliah Preen,PERSON
Deep Canal Gafna,PERSON
Deep Canal,LOC
DC 10 Wisdom (Survival,ORG
DC 14 Wisdom (Survival,ORG
DC 12 Intelligence (Investigation,ORG
Thay Intelligence (History,ORG
Strength (Athletics,ORG
Jigor Raxia,PERSON
Jigor,ORG
The Blushing Mage,WORK_OF_ART
DC 25 Strength (Athletics,ORG
PC3,ORG
DC 13,ORG
PC2,PRODUCT
The Probity Corp,ORG
Gextas Rolasi,PERSON
Cora Yamo,PERSON
Probity Corp,ORG
Probity Corps Black Site Locations,ORG
Probity Corps Black Site,ORG
DC 12 Charisma (Persuasion,ORG
Ikar Nalek,PERSON
Purpose of Visit Form,WORK_OF_ART
DC 13 Intelligence,ORG
Thaymount Scorpion,ORG
Prisoner Release Form,WORK_OF_ART
Please wait for a moment,WORK_OF_ART
Serena Halig,PERSON
Trooper,ORG
DC 17,EVENT
Jigor Raxia’s,PERSON
Night Conditions and Roster,ORG
Jigor Raxia Jigor,PERSON
the Chamber of Answers,ORG
Troopers,PRODUCT
Inquisitor Serena Halig’s,PERSON
Serena Halig’s,PERSON
Serena,PERSON
DC 18 Strength (Athletics,ORG
The Wedding The,WORK_OF_ART
The City Watch Should,ORG
Charisma (Deception,PERSON
The Dark House of Tyranny Map D6 D5 D11 D10 D8 D9 D12 D7 D3 D4 D1 D2 The Dark House of Tyranny Map Legend D1: Patio D2: Dark House,ORG
Guard Post,ORG
Garden & Loading Area,ORG
AC,ORG
HP,ORG
Eltabbaran,LOC
The Tharchion’s Palace,ORG
Palace,ORG
Watch,WORK_OF_ART
The City Watch,WORK_OF_ART
DC 15 Intelligence (History,ORG
DC 14 Dexterity (Stealth,ORG
10d6,ORG
Probity C Corps Black Site Player,ORG
Argos Toslav,PERSON
associ,ORG
al,PERSON
Eleint at Eventide Refreshments,WORK_OF_ART
Forgotten Realms,PERSON
Dungeon Masters,ORG
the Land of Red Wizards,ORG
Handbook,WORK_OF_ART
Dungeon Master’s Guide,ORG
D&D,ORG
